145,passage,n.一段（文章）；走廊；通路；通过; n.(Passage)人名；(英)帕西奇；(法)帕萨热
141,very,adj.恰好是，正是；甚至；十足的；特有的; adv.非常，很；完全; n.(Very)人名；(英)维里
141,know,vt.知道；认识；懂得; vi.了解；熟悉；确信
139,according,adj.相符的；一致的；相应的；和谐的；调和的; adv.依照；根据；按照; v.给予(accord的现在分词)；使和谐一致；使符合；使适合
139,important,adj.重要的，重大的；有地位的；有权力的
138,paragraph,n.段落；短评；段落符号; vt.将…分段
137,down,adv.向下，下去；在下面; adj.向下的; n.软毛，绒毛；[地质]开阔的高地; prep.沿着，往下; vt.打倒，击败; vi.下降；下去; n.(Down)人名；(英)唐
136,while,conj.虽然；然而；当……的时候; n.一会儿；一段时间; vt.消磨；轻松地度过
135,well,adv.很好地；充分地；满意地；适当地; adj.良好的；健康的；适宜的; n.井；源泉; v.涌出; ; n.(Well)人名；(英、德、荷)韦尔
135,think,vt.想；认为；想起；想像；打算; vi.想；认为; n.想；想法; adj.思想的
135,want,vt.需要；希望；应该；缺少; n.需要；缺乏；贫困；必需品; vi.需要；缺少
135,family,n.家庭；亲属；家族；子女；[生]科；语族；[化]族; adj.家庭的；家族的；适合于全家的
133,often,adv.常常，时常
131,find,vt.查找，找到；发现；认为；感到；获得; vi.裁决; n.发现; n.(Find)人名；(丹)芬
130,over,adv.结束；越过；从头到尾; prep.越过；在…之上；遍于…之上; adj.结束的；上面的; vt.越过; n.(Over)人名；(俄、西、土)奥韦尔
130,hours,n.小时（hour的复数形式）; n.(Hours)人名；(法)乌尔
130,before,prep.在…之前，先于; adv.以前；在前; conj.在…以前；在…之前
130,writing,n.书写；作品；著作；[法]笔迹; v.书写（write的ing形式）
129,take,vt.拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）; vi.拿；获得; n.捕获量；看法；利益，盈益；（入场券的）售得金额
129,those,adj.那些的; pron.那些（that的复数）
129,does,v.做；工作；有用（do的第三人称单数形式）; n.(Does)人名；(荷)杜斯
127,these,pron.这些; adj.这些的
126,best,n.最好的人，最好的事物；最佳状态; adj.最好的; adv.最好地; vt.打败，胜过; n.(Best)人名；(英、西、德、葡、法)贝斯特
125,however,adv.无论如何；不管怎样（接副词或形容词）；然而；可是; conj.无论以何种方式;不管怎样
124,feel,vt.感觉；认为；触摸；试探; vi.觉得；摸索; n.感觉；触摸
123,made,adj.成功的；创造的; v.做，使，安排（make的过去式和过去分词）; n.(Made)人名；(塞)马德
122,never,adv.从未；决不
119,where,adv.在哪里; pron.哪里; conj.在…的地方; n.地点
119,less,adv.较少地；较小地；更小地; adj.较少的；较小的; prep.减去; n.较少；较小; n.(Less)人名；(德、意、匈、芬)莱斯
118,research,n.研究；调查; vi.研究；调查; vt.研究；调查; [过去式researched过去分词researched现在分词researching]
114,great,adj.伟大的，重大的；极好的，好的；主要的; n.大师；大人物；伟人们
114,learn,vt.学习；得知；认识到; vi.学习；获悉
114,change,vt.改变；交换; n.变化；找回的零钱; vi.改变；兑换
114,study,n.学习，研究；课题；书房；学问; vt.学习；考虑；攻读；细察; vi.研究；用功; n.(Study)人名；(英)斯塔迪
114,teacher,n.教师；导师; n.(Teacher)人名；(英)蒂彻
112,need,n.需要，要求；缺乏；必要之物; vt.需要; vi.需要
112,small,adj.少的，小的；微弱的；几乎没有的；不重要的；幼小的; adv.小小地；卑鄙地; n.小件物品；矮小的人; n.(Small)人名；(英)斯莫尔
112,food,n.食物；养料
110,following,adj.下面的；其次的，接着的; n.下列事物；一批追随者; v.跟随；沿行（follow的ing形式）
109,thought,n.思想；思考；想法；关心; v.想，思考；认为（think的过去式和过去分词）
109,through,prep.通过；穿过；凭借; adv.彻底；从头至尾; adj.直达的；过境的；完结的
109,better,n.长辈；较好者；打赌的人（等于bettor）; adv.更好的；更多的；较大程度地; adj.较好的; vt.改善；胜过; vi.变得较好; n.(Better)人名；(西、瑞典、德)贝特尔
109,class,n.阶级；班级；种类；班；等级; vt.分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级; adj.极好的；很好的，优秀的，出色的; vi.属于…类（或等级），被列为某类（或某级）; n.（英、德）克拉斯（人名）
108,talk,vt.说；谈话；讨论; vi.谈话；说闲话; n.谈话；演讲；空谈
107,between,prep.在…之间; adv.在中间
107,still,adv.仍然；更；静止地; adj.静止的，不动的；寂静的，平静的；不起泡的; n.寂静；剧照；蒸馏室; conj.仍然；但是；尽管如此; vt.蒸馏；使…静止；使…平静下来; vi.静止；平静；蒸馏; n.(Still)人名；(英、芬、瑞典)斯蒂尔；(德)施蒂尔
107,used,adj.习惯的；二手的，使用过的; v.用（use的过去式）；（usedto）过去常做
106,others,pron.其他人
105,something,pron.某事；某物; n.重要的人；值得重视的事; adv.非常；有点；大约; adj.大约；有点象
104,home,n.家，住宅；产地；家乡；避难所; adv.在家，回家；深入地; adj.国内的，家庭的；有效的; vt.归巢，回家; n.(Home)人名；(德、芬)霍梅；(英、尼)霍姆
104,every,adj.每一的，每个的；每隔…的; n.(Every)人名；(英)埃夫里
103,three,n.三，三个; num.三; adj.三的，三个的
103,last,n.末尾，最后；上个；鞋楦（做鞋的模型）; adj.最后的；最近的，最新的；仅剩的；最不可能…的; vi.持续；维持，够用；持久; vt.度过，拖过；使维持; adv.最后地；上次，最近；最后一点; n.(Last)人名；(英、德、葡、罗、瑞典)拉斯特
102,being,n.存在；生命；本质；品格; adj.存在的；现有的
102,might,n.力量；威力；势力; v.可以；或许（may的过去式）；应该; aux.可能；也许; n.(Might)人名；(英)迈特
99,money,n.钱；货币；财富; n.(Money)人名；(英)莫尼；(西、法)莫内
98,same,adj.相同的；同一的；上述的（通常与the连用）；无变化的; pron.同样的事物或人（通常与the连用）; adv.同样地（通常与the连用）; n.(Same)人名；(意)萨梅
98,says,v.说（第三人称单数）
97,part,n.部分；角色；零件；一些；片段; vt.分离；分配；分开; vi.断裂；分手; adv.部分地; adj.部分的; n.(Part)人名；(英、瑞典)帕特；(泰)巴；(法)帕尔
97,things,n.事物（thing的复数形式）；用品；形势
97,another,adj.又一，另一；另外的；不同的; pron.另一个；又一个; prep.另一个；另一个人
96,different,adj.不同的；个别的，与众不同的
96,come,vi.来；开始；出现；发生；变成；到达; vt.做；假装；将满（…岁）; int.嗨！; n.(Come)人名；(英)科姆；(阿尔巴)乔梅
95,away,adv.离去，离开；在远处
